id,name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,逢沢 一郎,0,0,0,0,0,0,11,17,32,33,22,17,65,31,13,24,204,2,45,30,6,19,26,278,134,202,603,425,9,19,1,22,232,504,34
2,青柳 陽一郎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,217,139
3,浅尾 慶一郎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,285,516,422,442,273,238,297,448,524,430,134,161,142,217,116,64,0
4,安倍 晋三,0,0,0,0,0,0,0,0,0,0,0,0,48,63,70,32,51,14,54,25,62,301,56,28,83,1706,1280,0,0,0,0,11,2621,2172,3016
5,池内 さおり,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
6,石井 啓一,0,0,0,0,0,0,0,0,0,0,0,0,11,29,177,91,141,334,142,81,78,153,108,98,202,165,98,118,139,210,121,89,9,11,12
7,稲田 朋美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,117,44,40,114,264,409,360,826,538,19
8,井上 英孝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,34,63
9,今井 雅人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,12,42,237,276,246
10,上西 小百合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,207,47
11,うえの 賢一郎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,36,31,44,0,0,0,44,37,48
12,江崎 鐵磨,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,8,19,14,33,0,0,0,0,5,7,0,0,0,0,0,0,129,349,3
13,枝野 幸男,0,0,0,0,0,0,0,0,0,0,0,0,13,75,126,495,267,345,250,309,228,373,191,210,150,440,314,170,274,250,1594,1365,123,155,74
14,江藤 拓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23,0,20,23,28,136,86,89,197,211,387
15,遠藤 利明,0,0,0,0,0,0,0,0,0,0,0,0,7,20,21,8,9,19,1,11,0,0,0,22,5,11,8,86,224,24,47,0,30,48,173
16,大串 正樹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,20
17,大島 理森,0,0,0,10,7,7,2,6,6,5,19,8,138,102,58,26,10,25,132,776,0,664,511,0,0,731,23,0,30,1,7,2,2,105,984
18,大西 健介,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,26,29,270,233,216
19,小川 淳也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,213,249,113,167,195,39,7,75,127,156
20,小野寺 五典,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,49,0,0,0,8,90,65,79,50,311,89,460,550,284,819,716,17